"country","date","predicted_cases","cases_min","cases_max","cases_min2","cases_max2","cumulative_cases","cumulative_cases_min","cumulative_cases_max","cumulative_cases_min2","cumulative_cases_max2","reported_deaths","estimated_deaths","deaths_min","deaths_max","deaths_min2","deaths_max2","cumulative_deaths","cumulative_deaths_min","cumulative_deaths_max","cumulative_deaths_min2","cumulative_deaths_max2","key","X","ifr","popt"
"GP",2021-06-04,30.1558170043565,0.000189282203471106,240.638603816568,0.0233687563223856,2.84792062777202,7773170.29104381,5144445.51712743,9761114.89910086,7082282.33824906,8580079.27553182,0,0.268945135209039,7.03177432646284e-06,2.39865996600714,0.000560706201104712,0.0438582502119417,34254.0082710047,22059.4751142411,46289.2937192335,30116.8906801333,38379.0885686552,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-05,35.02524939193,0.000217444493636754,277.293971353828,0.0271174543984195,3.26685063720053,7773205.3162932,5144710.62170671,9761114.89946685,7082285.40803485,8580079.30543716,0,0.262155930146724,6.54326743413607e-06,2.32790454801914,0.000528428948958529,0.0419598499033366,34254.2704269348,22060.5535604194,46289.2939303563,30116.9384821265,38379.0935898229,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-06,32.6059681509501,0.000191457172758963,258.072613519227,0.0242338415657345,2.97480780294709,7773237.92226135,5144959.11407147,9761114.89979002,7082288.18993897,8580079.33232155,0,0.2555170557382,6.08672813486183e-06,2.25878088991657,0.000497985740766273,0.0401306282558919,34254.5259439906,22061.5973962618,46289.2941283508,30117.046515218,38379.0983491191,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-07,28.2169327706698,0.000152465895593308,221.369452087338,0.0196809249613254,2.50166023467044,7773266.13919412,5145179.75044804,9761114.90005287,7082290.50677112,8580079.35476552,0,0.249044205937651,5.66107674564103e-06,2.19152409396316,0.000469130986254886,0.038378165528759,34254.7749881965,22062.6076581804,46289.294314013,30117.1502106993,38379.1028597644,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-08,27.4831214929142,0.000140748628406222,214.371253776046,0.0184484812605812,2.3837206359355,7773293.62231561,5145393.49514802,9761114.90029599,7082292.71346601,8580079.37583368,0,0.242799233926018,5.26821915590372e-06,2.12725597384478,0.000441387041865765,0.0367114545857381,34255.0177874304,22063.585617324,46289.2944881788,30117.2497570666,38379.1071362023,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-09,27.5219656879552,0.000134598217486116,213.627688349581,0.0179268107313498,2.3367296267274,7773321.1442813,5145604.87433048,9761114.90052818,7082294.8845613,8580079.39618524,0,0.236725721465236,4.90151812434646e-06,2.06798268946004,0.000415253569821991,0.0351153381551485,34255.2545131519,22064.5322900009,46289.2946515373,30117.3453182302,38379.1111901947,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-10,27.2504205341937,0.000127156366295326,210.274998734911,0.0171909595096063,2.26626948145434,7773348.39470183,5145812.17914448,9761114.90074738,7082296.99380117,8580079.41563485,0,0.230762335876102,4.55870115103374e-06,2.00968924911868,0.000390680185775952,0.0335756922157086,34255.4852754878,22065.4484672777,46289.2948047183,30117.4471945902,38379.115032281,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-11,25.5087093838996,0.00011270654950459,195.337728379892,0.0153437616213801,2.07764942156686,7773373.90341122,5146007.22016016,9761114.90094194,7082298.91538814,8580079.4332107,0,0.225025561873554,4.24198334727191e-06,1.95372477732261,0.000368248674807177,0.0321048155519142,34255.7103010497,22066.3353526942,46289.2949484059,30117.6197389551,38379.1186747441,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-12,29.6310593064189,0.000129527018278046,226.855749503998,0.0177982319538514,2.38380461419691,7773403.53447052,5146222.41917003,9761114.90116034,7082301.15238118,8580079.45288762,0,0.219445418260078,3.94926226583892e-06,1.90075388010064,0.000346962332368293,0.0306895466963997,34255.9297464679,22067.1938866396,46289.2950831914,30117.785614879,38379.1221280473,"Mobility decrease",2,0.004405897,15176115
"GP",2021-06-13,27.5980479418811,0.000114046933457927,209.637421857868,0.0159111494280023,2.16603995531962,7773431.13251847,5146424.12977067,9761114.90135318,7082303.17959195,8580079.47057695,0,0.213985956774862,3.67173683549146e-06,1.84669428987267,0.000326713145556784,0.0293244333318799,34256.1437324247,22068.0435606665,46289.2952095955,30117.9462402612,38379.1254012563,"Mobility decrease",2,0.004405897,15176115
